id,label,lat,lon
AL,Albania,41.000028,19.9999619
AD,Andorra,42.5407167,1.5732033
AM,Armenia,40.7696272,44.6736646
AU,Australia,-24.7761086,134.755
AT,Austria,47.59397,14.12456
AZ,Azerbaijan,40.3936294,47.7872508
BY,Belarus,53.4250605,27.6971358
BE,Belgium,50.6402809,4.6667145
BA,Bosnia and Herzegovina,44.3053476,17.5961467
BG,Bulgaria,42.6073975,25.4856617
HR,Croatia,45.3658443,15.6575209
CY,Cyprus,34.9174159,32.8899027
CZ,Czechia,49.7439047,15.3381061
DK,Denmark,55.670249,10.3333283
EE,Estonia,58.7523778,25.3319078
FI,Finland,63.2467777,25.9209164
FR,France,46.603354,1.8883335
GE,Georgia,32.3293809,-83.1137366
DE,Germany,51.1638175,10.4478313
GR,Greece,38.9953683,21.9877132
HU,Hungary,47.1817585,19.5060937
IS,Iceland,64.9841821,-18.1059013
IE,Ireland,52.865196,-7.9794599
IL,Israel,30.8124247,34.8594762
IT,Italy,42.6384261,12.674297
KZ,Kazakhstan,48.1012954,66.7780818
LV,Latvia,56.8406494,24.7537645
LT,Lithuania,55.3500003,23.7499997
LU,Luxembourg,49.8158683,6.1296751
MT,Malta,35.9311442,14.3951627
MD,Moldova,47.2879608,28.5670941
MC,Monaco,43.7323492,7.4276832
ME,Montenegro,42.7755624,19.2022423
MA,Morocco,28.3347722,-10.3713379
NL,Netherlands,52.2434979,5.6343227
MK,North Macedonia,41.6171214,21.7168387
NO,Norway,61.1529386,8.7876653
PL,Poland,52.215933,19.134422
PT,Portugal,39.6621648,-8.1353519
RO,Romania,45.9852129,24.6859225
RU,Russia,64.6863136,97.7453061
SM,San Marino,43.9458623,12.458306
RS,Serbia,44.0243229,21.0765743
CS,Serbia and Montenegro,44.819517,20.2876002
SK,Slovakia,48.7411522,19.4528646
SI,Slovenia,46.1199444,14.8153333
ES,Spain,39.3260685,-4.8379791
SE,Sweden,59.6749712,14.5208584
CH,Switzerland,46.7985624,8.2319736
TR,Turkey,39.294076,35.2316631
UA,Ukraine,49.4871968,31.2718321
GB,United Kingdom,54.7023545,-3.2765753
GB-WLS,Wales,52.2928116,-3.73893
YU,Yugoslavia,-16.1479939,-68.241578
